comuna,candidato,votos,porcentaje
TALTAL,"1. JOAQUIN LAVIN INFANTE",169,42.68
TALTAL,"2. IGNACIO BRIONES ROJAS",33,8.33
TALTAL,"3. SEBASTIAN SICHEL RAMIREZ",157,39.65
TALTAL,"4. MARIO DESBORDES JIMENEZ",37,9.34
TALTAL,"5. GABRIEL BORIC FONT",303,40.56
TALTAL,"6. DANIEL JADUE JADUE",444,59.44
TALCAHUANO,"1. JOAQUIN LAVIN INFANTE",3288,30.51
TALCAHUANO,"2. IGNACIO BRIONES ROJAS",767,7.12
TALCAHUANO,"3. SEBASTIAN SICHEL RAMIREZ",5206,48.3
TALCAHUANO,"4. MARIO DESBORDES JIMENEZ",1517,14.07
TALCAHUANO,"5. GABRIEL BORIC FONT",9453,67.3
TALCAHUANO,"6. DANIEL JADUE JADUE",4594,32.7
TALCA,"1. JOAQUIN LAVIN INFANTE",4523,26.19
TALCA,"2. IGNACIO BRIONES ROJAS",1404,8.13
TALCA,"3. SEBASTIAN SICHEL RAMIREZ",8988,52.05
TALCA,"4. MARIO DESBORDES JIMENEZ",2352,13.62
TALCA,"5. GABRIEL BORIC FONT",11690,61.82
TALCA,"6. DANIEL JADUE JADUE",7221,38.18
TALAGANTE,"1. JOAQUIN LAVIN INFANTE",1850,30.52
TALAGANTE,"2. IGNACIO BRIONES ROJAS",568,9.37
TALAGANTE,"3. SEBASTIAN SICHEL RAMIREZ",3076,50.74
TALAGANTE,"4. MARIO DESBORDES JIMENEZ",568,9.37
TALAGANTE,"5. GABRIEL BORIC FONT",5179,58.93
TALAGANTE,"6. DANIEL JADUE JADUE",3610,41.07
"SIERRA GORDA","1. JOAQUIN LAVIN INFANTE",11,21.57
"SIERRA GORDA","2. IGNACIO BRIONES ROJAS",11,21.57
"SIERRA GORDA","3. SEBASTIAN SICHEL RAMIREZ",18,35.29
"SIERRA GORDA","4. MARIO DESBORDES JIMENEZ",11,21.57
"SIERRA GORDA","5. GABRIEL BORIC FONT",36,45.57
"SIERRA GORDA","6. DANIEL JADUE JADUE",43,54.43
"SANTO DOMINGO","1. JOAQUIN LAVIN INFANTE",945,36.9
"SANTO DOMINGO","2. IGNACIO BRIONES ROJAS",258,10.07
"SANTO DOMINGO","3. SEBASTIAN SICHEL RAMIREZ",1192,46.54
"SANTO DOMINGO","4. MARIO DESBORDES JIMENEZ",166,6.48
"SANTO DOMINGO","5. GABRIEL BORIC FONT",932,71.53
"SANTO DOMINGO","6. DANIEL JADUE JADUE",371,28.47
SANTIAGO,"1. JOAQUIN LAVIN INFANTE",8660,35.26
SANTIAGO,"2. IGNACIO BRIONES ROJAS",2705,11.01
SANTIAGO,"3. SEBASTIAN SICHEL RAMIREZ",10777,43.88
SANTIAGO,"4. MARIO DESBORDES JIMENEZ",2418,9.85
SANTIAGO,"5. GABRIEL BORIC FONT",29774,56.84
SANTIAGO,"6. DANIEL JADUE JADUE",22604,43.16
"SANTA MARIA","1. JOAQUIN LAVIN INFANTE",185,21.26
"SANTA MARIA","2. IGNACIO BRIONES ROJAS",65,7.47
"SANTA MARIA","3. SEBASTIAN SICHEL RAMIREZ",549,63.1
"SANTA MARIA","4. MARIO DESBORDES JIMENEZ",71,8.16
"SANTA MARIA","5. GABRIEL BORIC FONT",670,71.28
"SANTA MARIA","6. DANIEL JADUE JADUE",270,28.72
"SANTA JUANA","1. JOAQUIN LAVIN INFANTE",242,31.55
"SANTA JUANA","2. IGNACIO BRIONES ROJAS",96,12.52
"SANTA JUANA","3. SEBASTIAN SICHEL RAMIREZ",356,46.41
"SANTA JUANA","4. MARIO DESBORDES JIMENEZ",73,9.52
"SANTA JUANA","5. GABRIEL BORIC FONT",482,65.49
"SANTA JUANA","6. DANIEL JADUE JADUE",254,34.51
"SANTA CRUZ","1. JOAQUIN LAVIN INFANTE",671,24.74
"SANTA CRUZ","2. IGNACIO BRIONES ROJAS",206,7.6
"SANTA CRUZ","3. SEBASTIAN SICHEL RAMIREZ",1642,60.55
"SANTA CRUZ","4. MARIO DESBORDES JIMENEZ",193,7.12
"SANTA CRUZ","5. GABRIEL BORIC FONT",1647,69.17
"SANTA CRUZ","6. DANIEL JADUE JADUE",734,30.83
"SANTA BARBARA","1. JOAQUIN LAVIN INFANTE",306,34.62
"SANTA BARBARA","2. IGNACIO BRIONES ROJAS",47,5.32
"SANTA BARBARA","3. SEBASTIAN SICHEL RAMIREZ",394,44.57
"SANTA BARBARA","4. MARIO DESBORDES JIMENEZ",137,15.5
"SANTA BARBARA","5. GABRIEL BORIC FONT",358,71.03
"SANTA BARBARA","6. DANIEL JADUE JADUE",146,28.97
"SAN VICENTE","1. JOAQUIN LAVIN INFANTE",923,27.08
"SAN VICENTE","2. IGNACIO BRIONES ROJAS",228,6.69
"SAN VICENTE","3. SEBASTIAN SICHEL RAMIREZ",2009,58.95
"SAN VICENTE","4. MARIO DESBORDES JIMENEZ",248,7.28
"SAN VICENTE","5. GABRIEL BORIC FONT",2602,66.02
"SAN VICENTE","6. DANIEL JADUE JADUE",1339,33.98
"SAN ROSENDO","1. JOAQUIN LAVIN INFANTE",70,28.57
"SAN ROSENDO","2. IGNACIO BRIONES ROJAS",17,6.94
"SAN ROSENDO","3. SEBASTIAN SICHEL RAMIREZ",110,44.9
"SAN ROSENDO","4. MARIO DESBORDES JIMENEZ",48,19.59
"SAN ROSENDO","5. GABRIEL BORIC FONT",176,62.63
"SAN ROSENDO","6. DANIEL JADUE JADUE",105,37.37
"SAN RAMON","1. JOAQUIN LAVIN INFANTE",1713,33.31
"SAN RAMON","2. IGNACIO BRIONES ROJAS",307,5.97
"SAN RAMON","3. SEBASTIAN SICHEL RAMIREZ",2498,48.58
"SAN RAMON","4. MARIO DESBORDES JIMENEZ",624,12.14
"SAN RAMON","5. GABRIEL BORIC FONT",4766,49.08
"SAN RAMON","6. DANIEL JADUE JADUE",4945,50.92
"SAN RAFAEL","1. JOAQUIN LAVIN INFANTE",205,31.2
"SAN RAFAEL","2. IGNACIO BRIONES ROJAS",37,5.63
"SAN RAFAEL","3. SEBASTIAN SICHEL RAMIREZ",317,48.25
"SAN RAFAEL","4. MARIO DESBORDES JIMENEZ",98,14.92
"SAN RAFAEL","5. GABRIEL BORIC FONT",332,62.41
"SAN RAFAEL","6. DANIEL JADUE JADUE",200,37.59
"SAN PEDRO DE LA PAZ","1. JOAQUIN LAVIN INFANTE",2517,25.02
"SAN PEDRO DE LA PAZ","2. IGNACIO BRIONES ROJAS",1121,11.14
